Country Name,Country Code,Access to electricity (% of population),GDP per capita (current US$),Individuals using the Internet (% of population),"Life expectancy at birth, total (years)",Population growth (annual %),"School enrollment, secondary (% gross)","Unemployment, total (% of total labor force) (modeled ILO estimate)",CO2 Emissions (million tonnes),CO2 Emissions per Capita,population,GDP (CO2 dataset)
Latvia,LVA,100.0,22675.578629540683,92.2,75.6780487804878,-0.103172153311714,88.6602113500235,6.465,6.62,3.519,1881058.0,51248480256.0
Least developed countries: UN classification,LDC,58.43414529660489,1254.2327931358034,80.80000000000001,66.51610025977877,2.286320073446757,88.6602113500235,4.946423147119974,11.355,2.8655,7348056.0,99281829888.0
Lebanon,LBN,100.0,3477.7248984268376,83.5,77.817,0.503630953855672,64.7028884887695,11.543,18.922,3.294,5744494.0,48741707776.0
Lesotho,LSO,57.3,916.2829704638878,48.0,57.375,1.10328678263994,88.6602113500235,16.457,3.833,1.676,2286112.0,4761723392.0
Liberia,LBR,32.5,799.1944702296419,23.5,62.163,2.20390696065654,88.6602113500235,2.933,0.792,0.147,5373296.0,4231560960.0
Libya,LBY,73.2,6172.81246940233,88.5,69.339,1.12674309223491,88.6602113500235,18.753,57.546,7.966,7223804.0,91444477952.0
Liechtenstein,LIE,100.0,207973.61774675825,97.3,84.84146341463416,0.899896422348841,88.6602113500235,5.1835,0.153,3.898,39336.0,99281829888.0
Lithuania,LTU,100.0,27786.005782927572,88.5,76.98780487804878,1.40084461829591,88.6602113500235,6.841,12.857,4.564,2816922.0,84814258176.0
Low & middle income,LMY,90.49207117505264,5819.840862549129,80.80000000000001,71.9740048771462,0.9421866793279818,73.5610961914062,5.087677413729798,11.355,2.8655,7348056.0,99281829888.0
Low income,LIC,45.272191875679304,697.1711915354783,24.4,64.51789579368526,2.71738592668977,40.3266410827637,5.297353887705166,11.355,2.8655,7348056.0,99281829888.0
Lower middle income,LMC,91.26807497572224,2443.408276491232,50.9,69.59637465715149,1.2618036749994925,67.8971328735352,4.413936003021617,11.355,2.8655,7348056.0,99281829888.0
Luxembourg,LUX,100.0,131407.6813645132,99.3,83.35853658536585,2.02002574712319,88.6602113500235,5.184,7.277,11.138,653316.0,36128358400.0
"Macao SAR, China",MAC,100.0,67476.52908133058,89.2,83.18048780487806,0.221222713921319,92.5810394287109,2.235,1.037,1.472,704359.0,99281829888.0
Madagascar,MDG,39.4,508.7184277057355,20.4,63.632,2.46201530433165,88.6602113500235,3.069,4.309,0.142,30437263.0,38602186752.0
Malawi,MWI,15.6,602.343619809252,18.0,67.353,2.57135708610945,88.6602113500235,5.033,1.748,0.085,20568731.0,26465351680.0
Malaysia,MYS,100.0,11379.085192355718,97.7,76.657,1.23402869169549,85.5096191873777,3.869,285.448,8.227,34695494.0,877584000000.0
Maldives,MDV,100.0,12530.36023596828,84.7,81.041,0.359585188904548,80.2538787023977,4.241,2.018,3.851,524116.0,99281829888.0
Mali,MLI,54.5,1035.862426284115,35.099999999999994,60.439,2.97400537620334,39.8626403808594,2.956,6.988,0.303,23072639.0,30551085056.0
Malta,MLT,100.0,40182.431385463366,92.10000000000001,83.50731707317074,3.99255876861009,88.6602113500235,3.11,1.774,3.358,528194.0,18295134208.0
